GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
112732600500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.81,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112732600500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112732601500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,3.09,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112732601500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112735404100000,,Exempt,E-15 CITY,7520,COUNCIL ST NE,CEDAR RAPIDS CITY OF,5.84,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112735404100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112740200500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.4424,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112740200500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112747600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112747600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112845101200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,4.04,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112845101400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112845101500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.49,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112845101500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112847601500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.41,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112847601500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
112847701500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.82,,,,,,,,,0,0,0,0,0,0,0,0,0,0,112847701500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113132700100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.6054,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113132700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113132701000000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113132701000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113315103900000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,14.93,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113315103900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113315104000000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113315104000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113410400200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.96,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113410400200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113413002200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113413002200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113417700300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113417700300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.78,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425400300000,,Exempt,E-15 CITY,6900,COUNCIL ST NE,CEDAR RAPIDS CITY OF,0.45,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425400300000,NE 159,RESIDENTIAL,10100,0,10100,0,0,10100
113425800100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.97,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425800100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113425900100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113425900100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113440300100000,,Exempt,E-15 CITY,415,BRODERICK DR NE,CITY OF CEDAR RAPIDS,0.5939,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113440300100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,18.13,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113447600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447601000000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.5875,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113447601000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113447601900000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.3769,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113447601900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113535200300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,21.03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113535200300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
113542800200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,13.73,,,,,,,,,0,0,0,0,0,0,0,0,0,0,113542800200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
123610201200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.3594,,,,,,,,,0,0,0,0,0,0,0,0,0,0,123610201200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
123640300700000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,123640300700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131147600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS (SEMINOLE PARK),109.52,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131147600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131327600100000,SEMINOLE PARK,Exempt,E-15 CITY,5925,SEMINOLE VALLEY TR NE,CITY OF CEDAR RAPIDS (SEMINOLE PARK),217.27,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131327600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131345101000000,,Exempt,E-15 CITY,0,VACANT LOT NW,CEDAR RAPIDS CITY OF,0.4165,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131345101000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131410100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS (SEMINOLE PARK),80.26,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131410100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131515200900000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131515200900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131522600100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,5.62,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131522600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131532600100000,,Exempt,E-15 CITY,7807,ELLIS RD NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,131532600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131542601200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.77,,,,,,,,,0,0,0,0,0,0,,,,,131542601200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132247701500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF CITY HALL,1.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132247701500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132410100500000,,Exempt,E-15 CITY,1610,EDGEWOOD RD NW,CEDAR RAPIDS CITY OF,0.3519,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132410100500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415202400000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2893,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132415202400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415300200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.17,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132415300200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415301500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,4.13,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132415301500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132425101100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF CITY CLERK,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132425101100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132425301700000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.46,,,,,,,,,0,0,0,0,0,0,,,,,132425301700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132432600700000,,Ag Land,NW 345,0,VACANT LAND NW,CITY OF CEDAR RAPIDS % CITY AUDITOR,7.7,,,,,,,,,10856,0,10856,0,0,10856,7170,0,0,7170,132432600700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132438002700000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.0165,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132438002700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.585,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132515100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.281,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132515100200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100300000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.422,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132515100300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515200100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,10.53,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132515200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515300800000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.298,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132515300800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132517600200000,,Exempt,E-15 CITY,3572,JOHNSON AVE NW,CITY OF CEDAR RAPIDS,4.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132517600200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132520401600000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.4624,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132520401600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525301500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2254,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132525301500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525301600000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS (PARK),2.4929,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132525301600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525800100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS (PARK),1.71,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132525800100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132527601000000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.5676,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132527601000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528400100000,,Exempt,E-15 CITY,4201,JUPITER AVE NW,CITY OF CEDAR RAPIDS,0.1688,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132528400100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528400200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.5506,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132528400200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528500100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.18,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132528500100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528600600000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.17,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132528600600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528700100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.27,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132528700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528700200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.83,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132528700200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132530300200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.05,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132530300200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132532700200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.16,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132532700200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132535100500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.91,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132535100500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132537700100000,,Exempt,E-15 CITY,100,WILEY BLVD SW,CITY OF CEDAR RAPIDS,1.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132537700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132548000600000,VACANT LAND,Exempt,E-15 CITY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.988,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132548000600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132610400900000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.046,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132610400900000,NW 329,RESIDENTIAL,7500,0,7500,0,0,7500
132627600100000,,Exempt,E-15 CITY,341,STONEY POINT RD NW,CITY OF CEDAR RAPIDS (CHERRY HILL PARK),61.27,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132627600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132632700300000,,Exempt,E-15 CITY,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,2.538,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132632700300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132642702200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,6.96,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132642702200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132710300100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.49,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132710300100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132710400700000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.52,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132710400700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132712701800000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132712701800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132725500200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.86,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132725500200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132725601800000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,0,0,,,,,132725601800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132740103500000,,Exempt,E-15 CITY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.88,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132740103500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132742700100000,,Exempt,E-15 CITY,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,0.5254,,,,,,,,,0,0,0,0,0,0,0,0,0,0,132742700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
133517600100000,,Exempt,E-15 CITY,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,16.39,,,,,,,,,0,0,0,0,0,0,0,0,0,0,133517600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140222701700000,,Other,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
140237600500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,,,,,140237600500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140240200500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,,,,,140240200500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140320400100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.33,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140320400100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140330100200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.81,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140330100200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140332600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS /PARK/,99.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140332600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140417600500000,,Commercial,E-15 CITY,5131,COUNCIL ST NE,CEDAR RAPIDS CITY OF,2.66,,,,,,,,,0,629100,629100,0,10070,639170,0,0,0,0,140417600500000,FLAT PARKING,COMMERCIAL,0,595700,595700,0,20700,616400
140425100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.77,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140425100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140425200100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,19.95,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140425200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140430101200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140430101200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140430101400000,,Exempt,E-15 CITY,,0 VACANT LAND NE,CEDAR RAPIDS CITY OF,0.08,,,,,,,,,0,0,0,0,0,0,,,,,140430101400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140437600500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.05,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140437600500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140445800900000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140445800900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140447800800000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140447800800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140447801000000,,Exempt,E-15 CITY,4424,RUSHMORE DR NE,CEDAR RAPIDS CITY OF,0.217,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140447801000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140447802800000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.095,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140447802800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140535100100000,,Exempt,E-15 CITY,3600,42ND ST NE,CITY OF CEDAR RAPIDS (TWIN PINE GOLF COURSE),148.14,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140535100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140540200100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,8.48,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140540200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140547601400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.9,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140547601400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140627600300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,8.08,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
140737600100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,23.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,140737600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
