GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2008 total","2016 Total"
112732600500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.81,"","","","","","","",0,0
112732601500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",3.09,"","","","","","","",0,0
112735404100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","COUNCIL ST NE","CEDAR RAPIDS CITY OF",5.84,"","","","","","","",0,0
112740200500000,"CITY PROPERTY",EXEMPT,"HUNTINGTON RIDGE PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.442,"","","","","","","",0,0
112747600100000,"CITY PROPERTY",EXEMPT,"HUNTINGTON RIDGE PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.71,"","","","","","","",0,0
112845101200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.03,"","","","","","","",0,0
112845101400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.04,"","","","","","","",0,0
112845101500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.49,"","","","","","","",0,0
112847601500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.41,"","","","","","","",0,0
112847701500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.82,"","","","","","","",0,0
113132700100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.595,"","","","","","","",0,0
113132701000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.46,"","","","","","","",0,0
113315103900000,"CITY PROPERTY",EXEMPT,"NIXON PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",14.93,"","","","","","","",0,0
113315104000000,"CITY PROPERTY",EXEMPT,"NIXON PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.55,"","","","","","","",0,0
113410400200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.96,"","","","","","","",0,0
113413002200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.52,"","","","","","","",0,0
113417700300000,"CITY PROPERTY",EXEMPT,"WATER TOWER","VACANT LAND NE","CEDAR RAPIDS CITY OF",8.5,"","","","","","","",0,0
113425100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.39,"","","","","","","",0,0
113425800100000,"CITY PROPERTY",EXEMPT,"DETENTION AREA","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.97,"","","","","","","",0,0
113425900100000,"CITY PROPERTY",EXEMPT,"DETENTION AREA","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.4,"","","","","","","",0,0
113440300100000,"CITY PROPERTY",EXEMPT,"FIRE STATION #9","BRODERICK DR NE","CEDAR RAPIDS CITY OF",0.5939,"","","","","","","",0,0
113447600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",18.13,"","","","","","","",0,0
113447601000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.5875,"","","","","","","",0,0
113447601900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.3769,"","","","","","","",0,0
113535200300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",21.03,"","","","","","","",0,0
113542800200000,"CITY PROPERTY",EXEMPT,"BOWMAN WOOD PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",13.73,"","","","","","","",0,0
123610201200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.3594,"","","","","","","",0,0
123640300700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.5,"","","","","","","",0,0
131147600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",109.52,"","","","","","","",0,0
131327600100000,"CITY PROPERTY",EXEMPT,"SEMINOLE VALLEY PARK","SEMINOLE VALLEY TR NE","CEDAR RAPIDS CITY OF",217.27,"","","","","","","",0,0
131345101000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LOT NW","CEDAR RAPIDS CITY OF",0.4165,"","","","","","","",0,0
131410100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",80.26,"","","","","","","",0,0
131515200900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.14,"","","","","","","",0,0
131522600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",4.87,"","","","","","","",0,0
131532600100000,"CITY PROPERTY",EXEMPT,"WATER TREATMENT PLANT","ELLIS RD NW","CEDAR RAPIDS CITY OF",73.81,"","","","","","","",0,0
132247701500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.4,"","","","","","","",0,0
132410100500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","EDGEWOOD RD NW","CEDAR RAPIDS CITY OF",0.352,"","","","","","","",0,0
132415202400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.2893,"","","","","","","",0,0
132415300200000,"CITY PROPERTY",EXEMPT,"JACKSON PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.17,"","","","","","","",0,0
132415301500000,"CITY PROPERTY",EXEMPT,"JACKSON PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",4.13,"","","","","","","",0,0
132425101100000,"CITY PROPERTY",EXEMPT,"WATER RETENTION AREA","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.59,"","","","","","","",0,0
132432600700000,"CITY PROPERTY",EXEMPT,"WILDERNESS PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",7.7,"","","","","","","",7170,0
132438002700000,"CITY PROPERTY",EXEMPT,"WATER TOWER/CITY","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.017,"","","","","","","",0,0
132515100100000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.585,"","","","","","","",0,0
132515100200000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.281,"","","","","","","",0,0
132515100300000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.422,"","","","","","","",0,0
132515200100000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",10.53,"","","","","","","",0,0
132515300800000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.298,"","","","","","","",0,0
132517600200000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","JOHNSON AVE NW","CEDAR RAPIDS CITY OF",4.0,"","","","","","","",0,0
132520401600000,"CITY PROPERTY",EXEMPT,"WATER RETENTION AREA","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.4624,"","","","","","","",0,0
132525301500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.23,"","","","","","","",0,0
132525301600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",2.4929,"","","","","","","",0,0
132525800100000,"CITY PROPERTY",EXEMPT,"JACOLYN PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.71,"","","","","","","",0,0
132527601000000,"CITY PROPERTY",EXEMPT,"CHEROKEE PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.405,"","","","","","","",0,0
132528400100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","JUPITER AVE NW","CEDAR RAPIDS CITY OF",0.169,"","","","","","","",0,0
132528400200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.551,"","","","","","","",0,0
132528500100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.18,"","","","","","","",0,0
132528600600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.17,"","","","","","","",0,0
132528700100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.27,"","","","","","","",0,0
132528700200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.83,"","","","","","","",0,0
132530300200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.05,"","","","","","","",0,0
132532700200000,"CITY PROPERTY",EXEMPT,"JACOLYN PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",3.16,"","","","","","","",0,0
132535100500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.91,"","","","","","","",0,0
132537700100000,"CITY PROPERTY",EXEMPT,"FIRE STATION #8","WILEY BLVD SW","CEDAR RAPIDS CITY OF",1.0,"","","","","","","",0,0
132548000600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.988,"","","","","","","",0,0
132627600100000,"CITY PROPERTY",EXEMPT,"CHERRY HILL PARK","STONEY POINT RD NW","CEDAR RAPIDS CITY OF",56.27,"","","","","","","",0,0
132632700300000,"CITY PROPERTY",EXEMPT,"COOLIDGE PARK","VACANT LAND SW","CEDAR RAPIDS CITY OF",2.538,"","","","","","","",0,0
132642702200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",6.96,"","","","","","","",0,0
132710300100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",1.49,"","","","","","","",0,0
132710400700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.52,"","","","","","","",0,0
132712701800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",2.28,"","","","","","","",0,0
132725500200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.86,"","","","","","","",0,0
132740103500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SW","CEDAR RAPIDS CITY OF",1.88,"","","","","","","",0,0
132742700100000,"CITY PROPERTY",EXEMPT,"WATER RETENTION AREA","VACANT LAND SW","CEDAR RAPIDS CITY OF",0.5254,"","","","","","","",0,0
133517600100000,"CITY PROPERTY",EXEMPT,"DELANEY PARK","VACANT LAND SW","CEDAR RAPIDS CITY OF",16.39,"","","","","","","",0,0
140320400100000,"CITY PROPERTY",EXEMPT,"WATER TOWER","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.33,"","","","","","","",0,0
140330100200000,"CITY PROPERTY",EXEMPT,"CREEKSIDE PAVILLION WADING POOL","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.81,"","","","","","","",0,0
140332600100000,"CITY PROPERTY",EXEMPT,"NOELRIDGE PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",99.0,"","","","","","","",0,0
140417600500000,"FLAT PARKING",COMMERCIAL,"PT PAVING/PT VACANT","COUNCIL ST NE","CEDAR RAPIDS CITY OF",2.66,"","","","","","","",0,616400
140425100100000,"CITY PROPERTY",EXEMPT,"RAILROAD RIGHT OF WAY","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.77,"","","","","","","",0,0
140425200100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",19.95,"","","","","","","",0,0
140430101200000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.8,"","","","","","","",0,0
140437600500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.05,"","","","","","","",0,0
140445800900000,"CITY PROPERTY",EXEMPT,"BIKE/WALKING TRAIL","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.2,"","","","","","","",0,0
140447800800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.034,"","","","","","","",0,0
140447801000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","RUSHMORE DR NE","CEDAR RAPIDS CITY OF",0.217,"","","","","","","",0,0
140447802800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.095,"","","","","","","",0,0
140535100100000,"CITY PROPERTY",EXEMPT,"TWIN PINES GOLF & FIRE STATION","42ND ST NE","CEDAR RAPIDS CITY OF",148.14,"","","","","","","",0,0
140540200100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",8.48,"","","","","","","",0,0
140547601400000,"CITY PROPERTY",EXEMPT,"PIERCE PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.9,"","","","","","","",0,0
140737600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",23.0,"","","","","","","",0,0
140745100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",46.0,"","","","","","","",0,0
140832602700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",19.51,"","","","","","","",0,0
140837600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",24.91,"","","","","","","",0,0
140930201600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",3.86,"","","","","","","",0,0
140945200100000,"CITY PROPERTY",EXEMPT,"LAND & PAVED STREET","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.84,"","","","","","","",0,0
141015900800000,"CITY PROPERTY",EXEMPT,"KENWOOD PARK","35TH ST NE","CEDAR RAPIDS CITY OF",1.72,"","","","","","","",0,0
141127603200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",3.27,"","","","","","","",0,0
141130500700000,"CITY PROPERTY",EXEMPT,"RIGHT OF WAY","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.08,"","","","","","","",0,0
141130500800000,"CITY PROPERTY",EXEMPT,"RIGHT OF WAY","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.14,"","","","","","","",0,0
141135300300000,"CITY PROPERTY",EXEMPT,STREET,"VACANT LAND NE","CEDAR RAPIDS CITY OF",0.1,"","","","","","","",0,0
141135300500000,"CITY PROPERTY",EXEMPT,"FIRE STATION #7","29TH ST NE","CEDAR RAPIDS CITY OF",0.38,"","","","","","","",0,0
141137600400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.231,"","","","","","","",0,0
141137600500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.296,"","","","","","","",0,0
141137600600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","EMERALD AVE SE","CEDAR RAPIDS CITY OF",0.149,"","","","","","","",0,0
141138001700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.065,"","","","","","","",0,0
141138001800000,"CITY PROPERTY",EXEMPT,"PAPOOSE PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",2.954,"","","","","","","",0,0
141145700700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.657,"","","","","","","",0,0
141332600900000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",14.15,"","","","","","","",0,0
141337602000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",4.98,"","","","","","","",0,0
141337602100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.03,"","","","","","","",0,0
141345400100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",4.94,"","","","","","","",0,0
141420100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",1.413,"","","","","","","",0,0
141420100200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.292,"","","","","","","",0,0
141445100300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",8.89,"","","","","","","",0,0
141445200100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",2.84,"","","","","","","",0,0
141445200400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.28,"","","","","","","",0,0
141447800400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",6.62,"","","","","","","",0,0
141515102100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.2268,"","","","","","","",0,0
141530101100000,"CITY PROPERTY",EXEMPT,"TOMAHAWK PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.85,"","","","","","","",0,0
141615200100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",14.1,"","","","","","","",0,0
141625100200000,"CITY PROPERTY",EXEMPT,"SHAVER PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",45.99,"","","","","","","",0,0
141630100100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",2.8687,"","","","","","","",0,0
141630100400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.45,"","","","","","","",0,0
141632600100000,"CITY PROPERTY",EXEMPT,"CITY WATER WORKS","SHAVER RD NE","CEDAR RAPIDS CITY OF",17.77,"","","","","","","",0,0
141632600400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.5,"","","","","","","",0,0
141632600700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.13,"","","","","","","",0,0
141635100200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",1.02,"","","","","","","",0,0
141637700100000,"CITY PROPERTY",EXEMPT,"CEDAR LAKE PAVILION","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.6741,"","","","","","","",0,0
141640100100000,"CITY PROPERTY",EXEMPT,"DANIELS PARK","VACANT LAND NE","CEDAR RAPIDS CITY OF",25.67,"","","","","","","",0,0
141645900100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1722,"","","","","","","",0,0
141645900200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.0689,"","","","","","","",0,0
141645900400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1194,"","","","","","","",0,0
141645900500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1245,"","","","","","","",0,0
141645900700000,"CITY PROPERTY",EXEMPT,"VACANT LAND","SHAVER RD NE","CEDAR RAPIDS CITY OF",0.1607,"","","","","","","",0,0
141645901300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",0.126,"","","","","","","",0,0
141715300100000,"CITY PROPERTY",EXEMPT,"SECTION OF RIVER","VACANT LAND NE","CEDAR RAPIDS CITY OF",29.73,"","","","","","","",0,0
141717800200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NE","CEDAR RAPIDS CITY OF",6.5,"","","","","","","",0,0
141720300100000,"CITY PROPERTY",EXEMPT,"PART OF CITY WATER WORKS","J AVE NE","CEDAR RAPIDS CITY OF",2.5,"","","","","","","",0,0
141722600100000,"CITY PROPERTY",EXEMPT,"HOUSEBOATS DOCKING","VACANT LAND NW","CEDAR RAPIDS CITY OF",15.0,"","","","","","","",0,0
141725200200000,"CITY PROPERTY",EXEMPT,"BOAT STORAGE & RIVER FRONT MAINTENANCE","ELLIS RD NW","CEDAR RAPIDS CITY OF",13.91,"","","","","","","",0,0
141730100100000,"CITY PROPERTY",EXEMPT,"ELLIS PARK","ELLIS LN NW","CEDAR RAPIDS CITY OF",156.68,"","","","","","","",0,0
141732600100000,"CITY PROPERTY",EXEMPT,"ELLIS PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",22.2,"","","","","","","",0,0
141740200200000,"CITY PROPERTY",EXEMPT,"PART OF CITY WATER WORKS","VACANT LAND NE","CEDAR RAPIDS CITY OF",47.2,"","","","","","","",0,0
141810100100000,"CITY PROPERTY",EXEMPT,"SECTION OF RIVER","VACANT LAND NW","CEDAR RAPIDS CITY OF",44.11,"","","","","","","",0,0
141815105300000,"CITY PROPERTY",EXEMPT,"ELLIS GOLF COURSE","VACANT LAND NW","CEDAR RAPIDS CITY OF",19.7,"","","","","","","",0,0
141817600100000,"CITY PROPERTY",EXEMPT,"ELLIS GOLF COURSE","VACANT LAND NW","CEDAR RAPIDS CITY OF",38.75,"","","","","","","",0,0
141820100200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",5.95,"","","","","","","",0,0
