"",Reporting precincts,Total Precincts,Trump,Clinton,Johnson,Write-in,Stein,Castle,Vacek,McMullin,Kahn,De La Fuente,La Riva,winner
Adair,6,6,2456,1127,125,38,13,10,10,10,5,3,0,Trump
Adams,6,6,1393,565,93,22,9,13,1,6,1,1,0,Trump
Allamakee,10,12,2316,1043,127,26,28,24,3,27,3,1,1,Trump
Appanoose,13,13,4031,1813,139,37,42,25,11,24,8,1,2,Trump
Audubon,3,3,2135,1079,106,30,24,17,4,9,2,2,1,Trump
Benton,20,20,8226,4672,540,139,86,61,12,70,17,2,4,Trump
Black Hawk,0,63,0,0,0,0,0,0,0,0,0,0,0,Trump
Boone,0,16,0,0,0,0,0,0,0,0,0,0,0,Trump
Bremer,14,14,7199,5349,543,170,81,54,21,87,10,5,1,Trump
Buchanan,16,16,5504,3966,478,105,54,58,9,48,17,2,1,Trump
Buena Vista,11,11,4895,2851,287,84,47,23,4,58,13,1,0,Trump
Butler,9,9,4918,2153,217,57,43,47,11,50,5,3,0,Trump
Calhoun,0,11,0,0,0,0,0,0,0,0,0,0,0,Trump
Carroll,14,14,6627,3305,317,90,58,41,13,54,19,1,0,Trump
Cass,10,14,2833,947,141,31,35,15,4,30,9,0,0,Trump
Cedar,13,13,5275,3578,362,109,70,35,16,38,10,2,0,Trump
Cerro Gordo,27,27,11583,9840,843,256,128,25,21,141,42,8,2,Trump
Cherokee,8,8,4188,1676,206,63,29,29,7,41,9,1,0,Trump
Chickasaw,0,14,0,0,0,0,0,0,0,0,0,0,0,Trump
Clarke,8,8,2706,1463,159,39,18,26,4,20,9,0,0,Trump
Clay,13,13,5870,2246,286,62,35,25,6,58,13,2,1,Trump
Clayton,12,15,4042,2593,251,52,38,14,19,36,23,3,1,Trump
Clinton,17,27,7850,8270,567,216,136,68,84,98,50,5,5
Crawford,9,9,4608,1985,172,57,33,25,6,18,7,6,2,Trump
Dallas,35,35,19288,15662,1749,532,181,142,26,518,28,15,8,Trump
Davis,9,9,2721,976,85,20,25,17,6,20,7,1,0,Trump
Decatur,8,8,2296,1201,123,31,29,26,1,20,5,1,1,Trump
Delaware,13,13,5688,2956,337,69,40,38,18,47,39,0,2,Trump
Des Moines,17,17,9479,8178,633,298,132,73,36,130,40,8,4,Trump
Dickinson,15,15,6743,3051,291,89,54,31,14,49,8,6,0,Trump
Dubuque,16,36,14355,17736,1333,228,258,41,26,202,65,6,8
Emmet,12,12,3121,1356,138,41,26,20,13,16,16,0,1,Trump
Fayette,26,26,5591,3666,326,102,62,41,35,65,23,3,1,Trump
Floyd,9,9,4371,3177,241,69,60,43,8,63,16,3,3,Trump
Franklin,13,13,3153,1490,187,38,31,16,5,27,4,2,0,Trump
Fremont,6,6,2401,959,115,31,21,15,10,19,9,3,2,Trump
Greene,8,8,2819,1688,160,54,31,20,9,29,4,1,1,Trump
Grundy,6,8,3156,1206,171,62,22,27,8,40,15,2,1,Trump
Guthrie,9,9,3603,1720,256,53,18,20,15,15,7,0,0,Trump
Hamilton,9,9,4450,2715,259,80,31,51,5,67,8,3,0,Trump
Hancock,0,11,0,0,0,0,0,0,0,0,0,0,0,Trump
Hardin,0,9,0,0,0,0,0,0,0,0,0,0,0,Trump
Harrison,0,14,0,0,0,0,0,0,0,0,0,0,0,Trump
Henry,9,10,5764,2897,336,93,113,40,15,99,14,4,4,Trump
Howard,10,10,2611,1674,130,47,38,15,13,14,11,0,1,Trump
Humboldt,10,10,3564,1251,127,49,20,13,6,40,8,2,2,Trump
Ida,8,8,2655,792,103,21,9,8,4,15,2,0,2,Trump
Iowa,12,12,5193,3070,315,85,61,68,9,54,13,6,0,Trump
Jackson,0,17,0,0,0,0,0,0,0,0,0,0,0,Trump
Jasper,21,21,10556,7108,715,253,95,90,76,91,39,4,2,Trump
Jefferson,12,13,3508,3675,239,133,255,20,5,25,6,0,2
Johnson,58,58,20993,49942,2743,959,874,130,124,711,67,18,35,Clinton
Jones,15,15,5718,3779,305,109,62,40,31,49,24,1,2,Trump
Keokuk,15,16,2780,1045,119,21,24,15,1,14,5,1,1,Trump
Kossuth,21,21,5637,2529,193,70,33,22,25,36,28,1,1,Trump
Lee,14,23,6902,5181,380,147,103,68,64,66,31,4,3,Trump
Linn,86,87,47827,58071,5457,1678,991,260,119,907,132,34,23
Louisa,6,6,3060,1643,134,48,28,26,4,39,5,1,3,Trump
Lucas,0,8,0,0,0,0,0,0,0,0,0,0,0,Trump
Lyon,9,9,5188,917,137,32,18,18,7,33,16,1,1,Trump
Madison,10,10,5336,2666,344,71,41,37,5,81,11,1,1,Trump
Mahaska,12,12,7404,2606,316,95,38,35,9,73,13,0,0,Trump
Marion,18,18,10940,5469,703,221,73,111,19,203,28,7,1,Trump
Marshall,18,20,5052,2992,374,114,63,35,16,67,14,1,3,Trump
Mills,12,12,5050,2080,303,59,56,26,8,76,7,2,0,Trump
Mitchell,12,12,3180,1879,209,34,28,16,10,24,13,1,0,Trump
Monona,10,12,1844,588,69,24,14,7,4,7,4,0,0,Trump
Monroe,8,8,2635,1053,104,14,13,20,3,14,1,1,0,Trump
Montgomery,8,8,3431,1312,152,39,38,21,5,27,8,1,3,Trump
Muscatine,24,24,9549,8284,741,211,180,86,60,136,41,3,6,Trump
O'Brien,6,10,4180,1013,147,23,18,15,1,21,14,3,2,Trump
Osceola,9,9,2528,552,73,13,10,10,0,20,3,0,1,Trump
Page,9,9,4875,1801,174,49,37,30,7,34,7,3,0,Trump
Palo Alto,7,7,3079,1395,131,24,20,12,9,13,14,0,1,Trump
Plymouth,14,14,9659,2878,342,102,52,33,5,70,14,1,3,Trump
Pocahontas,0,8,0,0,0,0,0,0,0,0,0,0,0,Trump
Polk,178,178,93421,119671,10009,2891,1734,668,200,2372,221,73,51,Clinton
Pottawattamie,41,41,24421,15306,1455,431,322,93,137,252,154,8,6,Trump
Poweshiek,11,11,4936,4272,281,95,72,44,20,46,11,3,8,Trump
Ringgold,8,8,1820,753,72,19,8,15,2,7,5,2,0,Trump
Sac,10,10,3692,1269,129,42,23,17,4,15,8,1,0,Trump
Scott,64,64,39083,40302,3547,1115,782,297,98,641,84,28,16,Clinton
Shelby,10,10,4340,1649,174,62,28,21,5,38,12,2,1,Trump
Sioux,17,17,14761,2289,431,163,53,86,5,351,9,4,0,Trump
Story,0,44,0,0,0,0,0,0,0,0,0,0,0,Trump
Tama,0,17,0,0,0,0,0,0,0,0,0,0,0,Trump
Taylor,8,8,2108,755,97,20,10,14,2,12,3,2,0,Trump
Union,0,9,0,0,0,0,0,0,0,0,0,0,0,Trump
Van Buren,9,9,2524,843,83,32,19,22,3,20,8,1,0,Trump
Wapello,21,23,8172,5408,352,130,108,46,40,62,28,4,1,Trump
Warren,30,32,13715,9751,1175,269,112,118,17,182,27,11,6,Trump
Washington,11,11,4115,2116,337,56,54,42,7,68,6,1,2,Trump
Wayne,0,5,0,0,0,0,0,0,0,0,0,0,0,Trump
Webster,29,29,10049,6293,568,170,113,64,24,104,16,5,3,Trump
Winnebago,0,11,0,0,0,0,0,0,0,0,0,0,0,Trump
Winneshiek,12,12,5332,5238,381,113,99,35,13,102,17,0,0,Trump
Woodbury,0,45,0,0,0,0,0,0,0,0,0,0,0,Trump
Worth,8,8,2443,1523,165,24,24,15,4,34,7,1,0,Trump
Wright,11,11,3790,1890,175,60,35,19,6,25,6,1,2,Trump
